source,dataset,severity,seed,status,validation_passed,achieved_rate,excluded_columns
openml,churn,0.25,3,OK,True,"{'account_length': 0.2498334443704197, 'number_vmail_messages': 0.27514990006662227, 'total_day_minutes': 0.24716855429713525, 'total_day_calls': 0.2558294470353098, 'total_eve_minutes': 0.2524983344437042, 'total_eve_calls': 0.26115922718187873, 'total_night_minutes': 0.25849433710859426, 'total_night_calls': 0.25383077948034644, 'total_intl_minutes': 0.24516988674217188, 'total_intl_calls': 0.24516988674217188}",
openml,electricity,0.05,1,OK,True,"{'period': 0.05112173593232806, 'nswprice': 0.0495034939315925, 'nswdemand': 0.050165502022802504, 'vicprice': 0.050606840750275835, 'vicdemand': 0.04920926811327694, 'transfer': 0.04817947774917249}",
openml,electricity,0.05,2,OK,True,"{'period': 0.04913571165869805, 'nswprice': 0.04817947774917249, 'nswdemand': 0.047223243839646926, 'vicprice': 0.05472600220669364, 'vicdemand': 0.05273997793306363, 'transfer': 0.04700257447591026}",
openml,electricity,0.05,3,OK,True,"{'period': 0.05399043766090474, 'nswprice': 0.050680397204854725, 'nswdemand': 0.05193085693269584, 'vicprice': 0.05229863920559029, 'vicdemand': 0.05141596175064362, 'transfer': 0.04707613093048915}",
openml,electricity,0.1,1,OK,True,"{'period': 0.10091945568223612, 'nswprice': 0.09819786686281722, 'nswdemand': 0.10003677822728944, 'vicprice': 0.10180213313718278, 'vicdemand': 0.09915410077234277, 'transfer': 0.09863920559029055}",
openml,electricity,0.1,2,OK,True,"{'period': 0.10342037513791835, 'nswprice': 0.10084589922765723, 'nswdemand': 0.1017285766826039, 'vicprice': 0.10305259286502391, 'vicdemand': 0.10011033468186833, 'transfer': 0.09944832659065833}",
openml,electricity,0.1,3,OK,True,"{'period': 0.10577418168444282, 'nswprice': 0.09716807649871276, 'nswdemand': 0.10673041559396837, 'vicprice': 0.10400882677454946, 'vicdemand': 0.10378815741081279, 'transfer': 0.09665318131666054}",
openml,electricity,0.15,1,OK,True,"{'period': 0.15137918352335417, 'nswprice': 0.1478484737035675, 'nswdemand': 0.14792203015814637, 'vicprice': 0.1525560867966164, 'vicdemand': 0.14924604634056637, 'transfer': 0.14630378815741082}",
openml,electricity,0.15,2,OK,True,"{'period': 0.15380654652445752, 'nswprice': 0.14976094152261862, 'nswdemand': 0.1525560867966164, 'vicprice': 0.15424788525193087, 'vicdemand': 0.14902537697682972, 'transfer': 0.15137918352335417}",
openml,electricity,0.15,3,OK,True,"{'period': 0.15513056270687753, 'nswprice': 0.14586244942993748, 'nswdemand': 0.15616035307098197, 'vicprice': 0.1539536594336153, 'vicdemand': 0.15299742552408974, 'transfer': 0.14475910261125413}",
openml,electricity,0.2,1,OK,True,"{'period': 0.2007355645457889, 'nswprice': 0.19852887090842222, 'nswdemand': 0.19602795145274, 'vicprice': 0.19941154836336888, 'vicdemand': 0.2, 'transfer': 0.2007355645457889}",
openml,electricity,0.2,2,OK,True,"{'period': 0.20220669363736668, 'nswprice': 0.20132401618242002, 'nswdemand': 0.20088267745494667, 'vicprice': 0.20183891136447224, 'vicdemand': 0.19624862081647665, 'transfer': 0.20066200809121001}",
openml,electricity,0.2,3,OK,True,"{'period': 0.2040456050018389, 'nswprice': 0.19507171754321442, 'nswdemand': 0.20441338727473335, 'vicprice': 0.2040456050018389, 'vicdemand': 0.2089738874586245, 'transfer': 0.19543949981610886}",
openml,electricity,0.25,1,OK,True,"{'period': 0.24979771974990805, 'nswprice': 0.24516366311143803, 'nswdemand': 0.24832659065833027, 'vicprice': 0.25185730047811694, 'vicdemand': 0.2500183891136447, 'transfer': 0.2509746230231703}",
openml,electricity,0.25,2,OK,True,"{'period': 0.25119529238690697, 'nswprice': 0.2507539536594336, 'nswdemand': 0.24766458256712026, 'vicprice': 0.2536226553880103, 'vicdemand': 0.24310408238322914, 'transfer': 0.24862081647664583}",
openml,electricity,0.25,3,OK,True,"{'period': 0.25524089738874584, 'nswprice': 0.24214784847370358, 'nswdemand': 0.25325487311511585, 'vicprice': 0.2489150422949614, 'vicdemand': 0.2581831555719014, 'transfer': 0.24987127620448693}",
openml,heloc,0.05,1,OK,True,"{'ExternalRiskEstimate': 0.052581261950286805, 'MSinceOldestTradeOpen': 0.04716379859783301, 'MSinceMostRecentTradeOpen': 0.049075844486934354, 'AverageMInFile': 0.0538559592096877, 'NumSatisfactoryTrades': 0.05098789037603569, 'NumTrades60Ever2DerogPubRec': 0.05353728489483748, 'NumTrades90Ever2DerogPubRec': 0.05162523900573614, 'PercentTradesNeverDelq': 0.046207775653282344, 'MSinceMostRecentDelq': 0.04843849585723391, 'MaxDelq2PublicRecLast12M': 0.05353728489483748, 'MaxDelqEver': 0.052581261950286805, 'NumTotalTrades': 0.055130656469088594, 'NumTradesOpeninLast12M': 0.041427660930529, 'PercentInstallTrades': 0.05003186743148502, 'MSinceMostRecentInqexcl7days': 0.05130656469088592, 'NumInqLast6M': 0.04652644996813257, 'NumInqLast6Mexcl7days': 0.058636073932441045, 'NetFractionRevolvingBurden': 0.04811982154238369, 'NetFractionInstallBurden': 0.04843849585723391, 'NumRevolvingTradesWBalance': 0.05321861057998725, 'NumInstallTradesWBalance': 0.045889101338432124, 'NumBank2NatlTradesWHighUtilization': 0.05162523900573614, 'PercentTradesWBalance': 0.044933078393881457}",
